"row_id","sobject_id","cluster_name"
"318","131218003001147","M67"
"319","131218003001148","M67"
"320","131218003001151","M67"
"321","131218003001163","M67"
"322","131218003001168","M67"
"323","131218003001169","M67"
"324","131218003001187","M67"
"325","131218003001201","M67"
"326","131218003001215","M67"
"327","131218003001221","M67"
"328","131218003001223","M67"
"329","131218003001224","M67"
"330","131218003001231","M67"
"331","131218003001236","M67"
"332","131218003001237","M67"
"333","131218003001239","M67"
"334","131218003001257","M67"
"335","131218003001260","M67"
"336","131218003001272","M67"
"337","131218003001277","M67"
"338","131218003001280","M67"
"339","131218003001285","M67"
"340","131218003001297","M67"
"341","131218003001302","M67"
"342","131218003001303","M67"
"343","131218003001304","M67"
"344","131218003001313","M67"
"345","131218003001315","M67"
"346","131218003001319","M67"
"347","131218003001323","M67"
"348","131218003001328","M67"
"349","131218003001329","M67"
"350","131218003001332","M67"
"351","131218003001333","M67"
"352","131218003001349","M67"
"353","131218003001357","M67"
"354","131218003001360","M67"
"355","131218003001367","M67"
"356","131218003001372","M67"
"357","131218003001373","M67"
"358","131218003001374","M67"
"359","131218003001375","M67"
"360","131218003001377","M67"
"361","131218003001379","M67"
"362","131218003001380","M67"
"363","131218003001381","M67"
"364","131218003001382","M67"
"365","131218003001383","M67"
"366","131218003001385","M67"
"367","131218003001387","M67"
"368","131218003001388","M67"
"369","131218003001389","M67"
"370","131218003001390","M67"
"371","131218003001392","M67"
"372","131218003001394","M67"
"373","131218003001395","M67"
"374","140112001801004","47 Tuc"
"375","140112001801007","47 Tuc"
"376","140112001801011","47 Tuc"
"377","140112001801020","47 Tuc"
"378","140112001801022","47 Tuc"
"379","140112001801023","47 Tuc"
"380","140112001801024","47 Tuc"
"381","140112001801026","47 Tuc"
"382","140112001801028","47 Tuc"
"383","140112001801029","47 Tuc"
"384","140112001801030","47 Tuc"
"385","140112001801033","47 Tuc"
"386","140112001801035","47 Tuc"
"387","140112001801038","47 Tuc"
"388","140112001801043","47 Tuc"
"389","140112001801048","47 Tuc"
"390","140112001801049","47 Tuc"
"391","140112001801066","47 Tuc"
"392","140112001801107","47 Tuc"
"393","140112001801110","47 Tuc"
"394","140112001801114","47 Tuc"
"395","140112001801117","47 Tuc"
"396","140112001801121","47 Tuc"
"397","140112001801124","47 Tuc"
"398","140112001801128","47 Tuc"
"399","140112001801132","47 Tuc"
"400","140112001801144","47 Tuc"
"401","140112001801148","47 Tuc"
"402","140112001801149","47 Tuc"
"403","140112001801151","47 Tuc"
"404","140112001801155","47 Tuc"
"405","140112001801158","47 Tuc"
"406","140112001801165","47 Tuc"
"407","140112001801175","47 Tuc"
"408","140112001801179","47 Tuc"
"409","140112001801192","47 Tuc"
"410","140112001801206","47 Tuc"
"411","140112001801209","47 Tuc"
"412","140112001801210","47 Tuc"
"413","140112001801212","47 Tuc"
"414","140112001801215","47 Tuc"
"415","140112001801220","47 Tuc"
"416","140112001801238","47 Tuc"
"417","140112001801268","47 Tuc"
"418","140112001801272","47 Tuc"
"419","140112001801274","47 Tuc"
"420","140112001801275","47 Tuc"
"421","140112001801286","47 Tuc"
"422","140112001801290","47 Tuc"
"423","140112001801294","47 Tuc"
"424","140112001801297","47 Tuc"
"425","140112001801299","47 Tuc"
"426","140112001801303","47 Tuc"
"427","140112001801305","47 Tuc"
"428","140112001801306","47 Tuc"
"429","140112001801307","47 Tuc"
"430","140112001801308","47 Tuc"
"431","140112001801309","47 Tuc"
"432","140112001801315","47 Tuc"
"433","140112001801316","47 Tuc"
"434","140112001801317","47 Tuc"
"435","140112001801322","47 Tuc"
"436","140112001801323","47 Tuc"
"437","140112001801324","47 Tuc"
"438","140112001801325","47 Tuc"
"439","140112001801332","47 Tuc"
"440","140112001801337","47 Tuc"
"441","140112001801343","47 Tuc"
"442","140112001801345","47 Tuc"
"443","140112001801364","47 Tuc"
"444","140112001801366","47 Tuc"
"445","140112001801369","47 Tuc"
"446","140112001801372","47 Tuc"
"447","140112001801375","47 Tuc"
"448","140112001801378","47 Tuc"
"449","140112001801380","47 Tuc"
"450","140112001801387","47 Tuc"
"451","140112001801389","47 Tuc"
"452","140112001801390","47 Tuc"
"453","140112001801392","47 Tuc"
"454","140112002801003","M67"
"455","140112002801004","M67"
"456","140112002801013","M67"
"457","140112002801031","M67"
"458","140112002801034","M67"
"459","140112002801041","M67"
"460","140112002801042","M67"
"461","140112002801046","M67"
"462","140112002801049","M67"
"463","140112002801061","M67"
"464","140112002801073","M67"
"465","140112002801076","M67"
"466","140112002801086","M67"
"467","140112002801096","M67"
"468","140112002801097","M67"
"469","140112002801099","M67"
"470","140112002801101","M67"
"471","140112002801108","M67"
"472","140112002801113","M67"
"473","140112002801125","M67"
"474","140112002801133","M67"
"475","140112002801139","M67"
"476","140112002801140","M67"
"477","140112002801147","M67"
"478","140112002801148","M67"
"479","140112002801152","M67"
"480","140112002801163","M67"
"481","140112002801168","M67"
"482","140112002801170","M67"
"483","140112002801184","M67"
"484","140112002801214","M67"
"485","140112002801216","M67"
"486","140112002801217","M67"
"487","140112002801221","M67"
"488","140112002801224","M67"
"489","140112002801227","M67"
"490","140112002801230","M67"
"491","140112002801232","M67"
"492","140112002801236","M67"
"493","140112002801237","M67"
"494","140112002801239","M67"
"495","140112002801241","M67"
"496","140112002801257","M67"
"497","140112002801258","M67"
"498","140112002801283","M67"
"499","140112002801296","M67"
"500","140112002801297","M67"
"501","140112002801303","M67"
"502","140112002801314","M67"
"503","140112002801329","M67"
"504","140112002801342","M67"
"505","140112002801349","M67"
"506","140112002801360","M67"
"507","140112002801374","M67"
"508","140112002801375","M67"
"509","140112002801386","M67"
"510","140114002401073","NGC288"
"511","140114002401080","NGC288"
"512","140114002401095","NGC288"
"513","140114002401098","NGC288"
"514","140114002401114","NGC288"
"515","140114002401146","NGC288"
"516","140114002401151","NGC288"
"517","140114002401180","NGC288"
"518","140114002401186","NGC288"
"519","140114002401195","NGC288"
"520","140114002401204","NGC288"
"521","140114002401209","NGC288"
"522","140114002401275","NGC288"
"523","140114002401290","NGC288"
"524","140114002401299","NGC288"
"525","140114002401318","NGC288"
"526","140114002401324","NGC288"
"527","140114002401331","NGC288"
"528","140114002401334","NGC288"
"529","140114002401335","NGC288"
"530","140114002401340","NGC288"
"531","140114002401345","NGC288"
"532","140114002401353","NGC288"
"533","140114002401355","NGC288"
"534","140114002401367","NGC288"
"535","140114002401376","NGC288"
"536","140114002401378","NGC288"
"537","140114002401390","NGC288"
"538","140114002401397","NGC288"
"539","140114002401398","NGC288"
"540","140117003101014","NGC1851"
